thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,up,0,0.7138644,None,-2,0,0,0,0,0.0042727,,0.0022514,0.0042727,1.0131714,1.0131714,1.7298756,up,0,0.7138644,None,-2,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
1,0,1,down,1,0.3367577,None,-1,1,0,1,0,1.7466004,,1.7300714,1.7466004,2.7465322,2.7302279,3.0793676,down,1,0.3367577,None,-1,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
2,0,2,down,0,0.2453327,None,0,2,0,2,0,3.0964395,,3.0794942,3.0964395,4.096304,4.0794715,4.3293732,down,0,0.2453327,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
3,0,3,up,0,0.1493116,None,2,3,0,3,0,4.3462541,,4.3295286,4.3462541,5.3461289,5.3296755,5.4804213,up,0,0.1493116,None,2,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
4,0,4,down,0,0.3134984,None,0,4,0,4,0,5.4963979,,5.4805871,5.4963979,6.4960079,6.4960079,6.8120479,down,0,0.3134984,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
5,0,5,up,0,0.2105392,None,-1,5,0,5,0,6.8293228,,6.8121959,6.8293228,7.8294023,7.8125265,8.0297318,up,0,0.2105392,None,-1,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
6,0,6,down,1,0.0766929,None,1,6,0,6,0,8.0457774,,8.0299065,8.0457774,9.0457864,9.0457864,9.1296806,down,1,0.0766929,None,1,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
7,0,7,down,1,0.0557088,None,-1,7,0,7,0,9.1450199,,9.1300834,9.1450199,10.1453224,10.1453224,10.2120112,down,1,0.0557088,None,-1,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
8,0,8,down,1,0.7200647,None,2,8,0,8,0,10.2283205,,10.2121576,10.2283205,11.2286473,11.2120329,11.9463964,down,1,0.7200647,None,2,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
9,0,9,down,0,0.1161811,None,0,9,0,9,0,11.9621106,,11.9471613,11.9621106,12.9615118,12.9615118,13.09597,down,0,0.1161811,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
10,0,10,up,1,0.3484496,None,0,10,0,10,0,13.1116111,,13.0962972,13.1116111,14.1113026,14.1113026,14.4613537,up,1,0.3484496,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
11,0,11,up,1,0.2625649,None,0,11,0,11,0,14.4781438,,14.4615083,14.4781438,15.4782704,15.4615396,15.7283512,up,1,0.2625649,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
12,0,12,down,0,0.1819799,None,0,12,0,12,0,15.7451507,,15.7289153,15.7451507,16.7446092,16.7280156,16.9112577,down,0,0.1819799,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
13,0,13,down,0,0.167669,None,0,13,0,13,0,16.9284146,,16.9113969,16.9284146,17.9276956,17.9108342,18.0942623,down,0,0.167669,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
14,0,14,up,0,0.330693,None,1,14,0,14,0,18.1109283,,18.0944165,18.1109283,19.110857,19.0944405,19.4271752,up,0,0.330693,None,1,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
15,0,15,up,1,0.1784646,None,0,15,0,15,0,19.4439839,,19.4273176,19.4439839,20.4444765,20.4275429,20.6108046,up,1,0.1784646,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
16,0,16,down,0,0.1432395,None,0,16,0,16,0,20.6273341,,20.6109856,20.6273341,21.627618,21.6106061,21.7627344,down,0,0.1432395,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
17,0,17,down,0,0.3567158,None,0,17,0,17,0,21.7777538,,21.7634185,21.7777538,22.7769904,22.7769904,23.1452005,down,0,0.3567158,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
18,0,18,down,1,0.31728,None,-4,18,0,18,0,23.1603133,,23.1459586,23.1603133,24.1601032,24.1601032,24.4794291,down,1,0.31728,None,-4,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
19,0,19,up,0,0.1703033,None,3,19,0,19,0,24.4937063,,24.4798993,24.4937063,25.4931528,25.4931528,25.6778964,up,0,0.1703033,None,3,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
20,0,20,down,1,0.1389518,None,0,20,0,20,0,25.693487,,25.6787229,25.693487,26.6933431,26.6933431,26.8434642,down,1,0.1389518,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
21,0,21,up,0,0.0326953,None,4,21,0,21,0,26.8595598,,26.8436406,26.8595598,27.8594074,27.8436409,27.893822,up,0,0.0326953,None,4,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
22,0,22,down,1,0.0708578,None,2,22,0,22,0,27.9096328,,27.8939873,27.9096328,28.9099391,28.9099391,28.9930191,down,1,0.0708578,None,2,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
23,0,23,up,1,0.0581211,None,0,23,0,23,0,29.0093562,,28.9934219,29.0093562,30.0094994,29.9931113,30.0602244,up,1,0.0581211,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
24,0,24,up,1,0.0272125,None,0,24,0,24,0,30.0762143,,30.0604714,30.0762143,31.0761088,31.0595501,31.0933948,up,1,0.0272125,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
25,0,25,up,1,0.0933571,None,0,25,0,25,0,31.1093096,,31.0935733,31.1093096,32.1089021,32.1089021,32.2091834,up,1,0.0933571,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
26,0,26,up,0,0.1624005,None,4,26,0,26,0,32.2259382,,32.2094233,32.2259382,33.2261572,33.2093161,33.3755947,up,0,0.1624005,None,4,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
27,0,27,down,0,0.0595482,None,0,27,0,27,0,33.3919327,,33.3757272,33.3919327,34.3922505,34.3759273,34.4422836,down,0,0.0595482,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
28,0,28,down,1,0.0769318,None,1,28,0,28,0,34.4586318,,34.4424326,34.4586318,35.4585148,35.4421868,35.5263814,down,1,0.0769318,None,1,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
29,0,29,down,0,0.0409846,None,0,29,0,29,0,35.5422052,,35.5269811,35.5422052,36.5420696,36.5420696,36.5920743,down,0,0.0409846,None,0,235884,1,2025-09-12_15h23.16.063,SignalDetection_orient_Lab2,,2025.1.1,59.93026514,2025-09-12 15h23.22.265091 +0530
