reward_today,future_reward,delay,key_resp.keys,k,,
78,80,162,l,1.019468186,,
78,80,162,l,1.019468186,,
78,80,162,l,1.019468186,,
78,80,162,l,1.019468186,,
78,80,162,t,1.019468186,,1.019468186
78,80,162,t,1.019468186,,
78,80,162,t,1.019468186,,
78,80,162,t,1.019468186,,
78,80,162,t,1.019468186,,
78,80,162,l,1.019468186,,
78,80,162,t,1.019468186,,
78,80,162,l,1.019468186,,
78,80,162,l,1.019468186,,
78,80,162,t,1.019468186,,
67,75,119,l,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,t,1.110999624,,
67,75,119,t,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,t,1.110999624,,
67,75,119,t,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,t,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,l,1.110999624,,
67,75,119,l,1.110999624,,
49,60,89,l,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,t,1.213253841,,
49,60,89,t,1.213253841,,
49,60,89,t,1.213253841,,
49,60,89,l,1.213253841,,
49,60,89,t,1.213253841,,
49,60,89,t,1.213253841,,
49,60,89,t,1.213253841,,
40,55,62,t,1.358870968,,
40,55,62,t,1.358870968,,
40,55,62,t,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,t,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,t,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,t,1.358870968,,
40,55,62,l,1.358870968,,
40,55,62,t,1.358870968,,
27,50,21,l,1.804232804,,
27,50,21,t,1.804232804,,
27,50,21,t,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,t,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
27,50,21,l,1.804232804,,
15,35,13,t,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,t,2.256410256,,
15,35,13,t,2.256410256,,
15,35,13,t,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
15,35,13,l,2.256410256,,
11,30,7,l,2.584415584,,
11,30,7,t,2.584415584,,
11,30,7,t,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,t,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,t,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,l,2.584415584,,
11,30,7,t,2.584415584,,
11,30,7,l,2.584415584,,
